stage,run_id,system,loss_rate,loss_schedule,rtt_ms,switch_high,switch_low,hysteresis_count,evaluation_interval_segments,min_mode_residence_s,trial,seed,file_bytes,window_size,rto_s,completion_time_s,goodput_bytes_per_s,retransmission_count,retransmission_overhead,switch_count,handshake_count,abandoned_switches,gbn_residence_s,sr_residence_s,final_mode,integrity_success,error
entry,entry_gbn_L0_t0,gbn,0.0,,0.0,,,,,,0,117366552,262144,8,0.2,0.022432,11686162.624821683,0,0.0,0,0,0,0.021617,0.0,gbn,True,
entry,entry_sr_L0_t0,sr,0.0,,0.0,,,,,,0,117366552,262144,8,0.2,0.026182,10012374.914063096,0,0.0,0,0,0,0.0,0.025435000000000003,sr,True,
entry,entry_hybrid_h0.05_l0.02_n1_L0_t0,hybrid,0.0,,0.0,0.05,0.02,1,20,1.0,0,117366552,262144,8,0.2,0.024987,10491215.432024654,0,0.0,0,0,0,0.024272,0.0,gbn,True,
entry,entry_hybrid_h0.05_l0.02_n2_L0_t0,hybrid,0.0,,0.0,0.05,0.02,2,20,1.0,0,117366552,262144,8,0.2,0.025624,10230408.991570402,0,0.0,0,0,0,0.02488,0.0,gbn,True,
entry,entry_hybrid_h0.05_l0.02_n3_L0_t0,hybrid,0.0,,0.0,0.05,0.02,3,20,1.0,0,117366552,262144,8,0.2,0.026104,10042292.368985597,0,0.0,0,0,0,0.025359,0.0,gbn,True,
entry,entry_hybrid_h0.1_l0.02_n1_L0_t0,hybrid,0.0,,0.0,0.1,0.02,1,20,1.0,0,117366552,262144,8,0.2,0.023959,10941358.153512249,0,0.0,0,0,0,0.023218000000000003,0.0,gbn,True,
entry,entry_hybrid_h0.1_l0.02_n2_L0_t0,hybrid,0.0,,0.0,0.1,0.02,2,20,1.0,0,117366552,262144,8,0.2,0.026103,10042677.086924873,0,0.0,0,0,0,0.025426,0.0,gbn,True,
entry,entry_hybrid_h0.1_l0.02_n3_L0_t0,hybrid,0.0,,0.0,0.1,0.02,3,20,1.0,0,117366552,262144,8,0.2,0.02266,11568578.993821712,0,0.0,0,0,0,0.021855999999999997,0.0,gbn,True,
entry,entry_hybrid_h0.2_l0.02_n1_L0_t0,hybrid,0.0,,0.0,0.2,0.02,1,20,1.0,0,117366552,262144,8,0.2,0.045655,5741846.457124082,0,0.0,0,0,0,0.044222000000000004,0.0,gbn,True,
entry,entry_hybrid_h0.2_l0.02_n2_L0_t0,hybrid,0.0,,0.0,0.2,0.02,2,20,1.0,0,117366552,262144,8,0.2,0.060029,4366955.971280548,0,0.0,0,0,0,0.058861,0.0,gbn,True,
entry,entry_hybrid_h0.2_l0.02_n3_L0_t0,hybrid,0.0,,0.0,0.2,0.02,3,20,1.0,0,117366552,262144,8,0.2,0.066576,3937515.020427782,0,0.0,0,0,0,0.065342,0.0,gbn,True,
entry,entry_hybrid_h0.35_l0.02_n1_L0_t0,hybrid,0.0,,0.0,0.35,0.02,1,20,1.0,0,117366552,262144,8,0.2,0.052944,4951344.817165307,0,0.0,0,0,0,0.051715,0.0,gbn,True,
entry,entry_hybrid_h0.35_l0.02_n2_L0_t0,hybrid,0.0,,0.0,0.35,0.02,2,20,1.0,0,117366552,262144,8,0.2,0.049986,5244348.417556915,0,0.0,0,0,0,0.04871,0.0,gbn,True,
entry,entry_hybrid_h0.35_l0.02_n3_L0_t0,hybrid,0.0,,0.0,0.35,0.02,3,20,1.0,0,117366552,262144,8,0.2,0.051327,5107331.424006858,0,0.0,0,0,0,0.050148,0.0,gbn,True,
entry,entry_hybrid_h0.5_l0.02_n1_L0_t0,hybrid,0.0,,0.0,0.5,0.02,1,20,1.0,0,117366552,262144,8,0.2,0.06122,4281999.346618752,0,0.0,0,0,0,0.059442999999999996,0.0,gbn,True,
entry,entry_hybrid_h0.5_l0.02_n2_L0_t0,hybrid,0.0,,0.0,0.5,0.02,2,20,1.0,0,117366552,262144,8,0.2,0.06055,4329380.6771263415,0,0.0,0,0,0,0.059453,0.0,gbn,True,
entry,entry_hybrid_h0.5_l0.02_n3_L0_t0,hybrid,0.0,,0.0,0.5,0.02,3,20,1.0,0,117366552,262144,8,0.2,0.067468,3885456.8091539694,0,0.0,0,0,0,0.065341,0.0,gbn,True,
entry,entry_gbn_L0_t1,gbn,0.0,,0.0,,,,,,1,1052058246,262144,8,0.2,0.054967,4769116.015063584,0,0.0,0,0,0,0.052589,0.0,gbn,True,
entry,entry_sr_L0_t1,sr,0.0,,0.0,,,,,,1,1052058246,262144,8,0.2,0.054035,4851374.109373555,0,0.0,0,0,0,0.0,0.052722,sr,True,
entry,entry_hybrid_h0.05_l0.02_n1_L0_t1,hybrid,0.0,,0.0,0.05,0.02,1,20,1.0,1,1052058246,262144,8,0.2,0.042472,6172160.482200038,0,0.0,0,0,0,0.04139,0.0,gbn,True,
entry,entry_hybrid_h0.05_l0.02_n2_L0_t1,hybrid,0.0,,0.0,0.05,0.02,2,20,1.0,1,1052058246,262144,8,0.2,0.047166,5557901.878471781,0,0.0,0,0,0,0.045917,0.0,gbn,True,
entry,entry_hybrid_h0.05_l0.02_n3_L0_t1,hybrid,0.0,,0.0,0.05,0.02,3,20,1.0,1,1052058246,262144,8,0.2,0.050331,5208400.389422026,0,0.0,0,0,0,0.048802000000000005,0.0,gbn,True,
entry,entry_hybrid_h0.1_l0.02_n1_L0_t1,hybrid,0.0,,0.0,0.1,0.02,1,20,1.0,1,1052058246,262144,8,0.2,0.040082,6540192.605159423,0,0.0,0,0,0,0.038615000000000003,0.0,gbn,True,
