stage,system,switch_high,switch_low,hysteresis_count,loss_rate,rtt_ms,trials,integrity_failures,goodput_mean,goodput_stdev,completion_mean_s,retransmissions_mean,overhead_mean,switches_mean,gbn_residence_mean_s,sr_residence_mean_s
confirm,fixed-hybrid,0.1,0.02,3,0.0,0.0,3,0,8207353.578806111,2392174.658469988,0.03427266666666667,0.0,0.0,0.0,0.033299666666666665,0.0
confirm,fixed-hybrid,0.1,0.02,3,0.01,0.0,3,0,388894.8010204194,8898.835800331175,0.6743066666666667,21.666666666666668,0.0778998778998779,0.0,0.6722683333333332,0.0
confirm,fixed-hybrid,0.1,0.02,3,0.02,0.0,3,0,344546.68034304766,197454.62736053002,0.9486776666666666,31.666666666666668,0.10835005069134364,0.0,0.9471696666666668,0.0
confirm,fixed-hybrid,0.1,0.02,3,0.05,0.0,3,0,79957.9349072147,19361.396013643593,3.394955,125.0,0.3257239791590936,0.0,3.392969666666666,0.0
confirm,fixed-hybrid,0.1,0.02,3,0.1,0.0,3,0,48070.53811104372,14891.858423475445,5.766742,198.0,0.43159377626149015,0.0,5.765092333333333,0.0
confirm,fixed-hybrid,0.1,0.02,3,0.2,0.0,3,1,18301.98755418406,2307.4588631940096,14.567679333333333,508.0,0.6639775076728884,0.0,14.566336666666666,0.0
confirm,gbn,,,,0.0,0.0,3,0,11035914.267212471,46510.450124470866,0.023754,0.0,0.0,0.0,0.022959000000000004,0.0
confirm,gbn,,,,0.01,0.0,3,0,392176.570675191,7924.411322881949,0.6686136666666668,21.666666666666668,0.0778998778998779,0.0,0.6672436666666667,0.0
confirm,gbn,,,,0.02,0.0,3,0,357565.36378203676,193411.54233724624,0.8800496666666667,31.0,0.1064787672174813,0.0,0.8779996666666667,0.0
confirm,gbn,,,,0.05,0.0,3,0,79817.042165049,18739.941954142527,3.3942113333333332,127.0,0.32882521489971345,0.0,3.3920096666666666,0.0
confirm,gbn,,,,0.1,0.0,3,0,47941.52728187214,6597.011716485358,5.5373616666666665,192.66666666666666,0.425718510039586,0.0,5.5359240000000005,0.0
confirm,gbn,,,,0.2,0.0,3,1,19645.95894199539,2832.045669118595,13.585924,516.3333333333334,0.6699043059502866,0.0,13.583842333333335,0.0
confirm,hybrid,0.1,0.02,3,0.0,0.0,3,0,8699176.333912095,2951789.2697188715,0.03305333333333333,0.0,0.0,0.0,0.031986,0.0
confirm,hybrid,0.1,0.02,3,0.01,0.0,3,0,384901.3471717271,8279.754511693276,0.6812793333333333,21.666666666666668,0.0778998778998779,0.0,0.6794303333333334,0.0
confirm,hybrid,0.1,0.02,3,0.02,0.0,3,0,356517.4897291724,198742.35402669356,0.8919333333333334,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8149329999999999,0.07560133333333334
confirm,hybrid,0.1,0.02,3,0.05,0.0,3,0,87529.56358423276,21275.849792248784,3.102797666666667,67.0,0.20670097284303046,1.0,1.625553,1.4758886666666668
confirm,hybrid,0.1,0.02,3,0.1,0.0,3,0,62404.14724622842,8715.919842387231,4.252696666666666,102.66666666666667,0.2852342040498679,1.0,2.3402733333333336,1.9102646666666665
confirm,hybrid,0.1,0.02,3,0.2,0.0,3,0,25980.584572988202,5536.334414886126,10.420256333333333,174.66666666666666,0.40290925293339336,1.0,4.067983666666667,6.350276
confirm,sr,,,,0.0,0.0,3,0,10614199.209829895,1197788.5283175833,0.024896,0.0,0.0,0.0,0.0,0.024116
confirm,sr,,,,0.01,0.0,3,0,504833.159243237,99686.03545309379,0.5349513333333333,2.6666666666666665,0.010305987050173096,0.0,0.0,0.5325693333333333
confirm,sr,,,,0.02,0.0,3,0,392346.4050981043,155578.66338692693,0.7451993333333333,5.0,0.01909021909021909,0.0,0.0,0.7439756666666666
confirm,sr,,,,0.05,0.0,3,0,113347.55502397807,9366.729051602644,2.3231913333333334,14.333333333333334,0.05298340077342828,0.0,0.0,2.3219153333333336
confirm,sr,,,,0.1,0.0,3,0,62441.36797906245,13472.810054193145,4.320214,26.333333333333332,0.09308755760368663,0.0,0.0,4.318446000000001
confirm,sr,,,,0.2,0.0,3,0,40257.06827137813,1178.8604640660274,6.515413666666667,63.0,0.19738123878448463,0.0,0.0,6.513988
entry,gbn,,,,0.0,0.0,3,0,7552702.868446288,3650753.4963438627,0.039887,0.0,0.0,0.0,0.03840266666666667,0.0
entry,gbn,,,,0.01,0.0,3,0,379758.98014912335,10024.262434552873,0.6906100000000001,21.666666666666668,0.0778998778998779,0.0,0.6881953333333334,0.0
entry,gbn,,,,0.02,0.0,3,0,348381.3601764766,188648.0921390641,0.9021313333333333,31.0,0.1064787672174813,0.0,0.9002863333333334,0.0
entry,gbn,,,,0.05,0.0,3,0,80196.73126507956,19222.46188277314,3.382573666666667,127.0,0.32882521489971345,0.0,3.3811736666666667,0.0
entry,gbn,,,,0.1,0.0,3,0,48047.734526650274,6212.2384282112935,5.517508333333333,192.66666666666666,0.425718510039586,0.0,5.515975666666667,0.0
entry,gbn,,,,0.2,0.0,3,1,19625.996130157037,2749.296142950275,13.588265333333334,516.3333333333334,0.6699043059502866,0.0,13.586697000000001,0.0
entry,hybrid,0.05,0.02,1,0.0,0.0,3,0,7234416.598111298,2876729.4312731517,0.03982433333333333,0.0,0.0,0.0,0.038517666666666665,0.0
entry,hybrid,0.05,0.02,1,0.01,0.0,3,0,372682.9632621817,8745.751886053837,0.7036519999999999,21.666666666666668,0.0778998778998779,0.0,0.7024263333333334,0.0
entry,hybrid,0.05,0.02,1,0.02,0.0,3,0,346676.1545961919,180926.36648588013,0.893679,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8171016666666665,0.074842
entry,hybrid,0.05,0.02,1,0.05,0.0,3,0,93577.16554446518,14477.559987999948,2.8434950000000003,51.333333333333336,0.16702624194480872,1.0,1.207213,1.6350123333333333
entry,hybrid,0.05,0.02,1,0.1,0.0,3,0,68472.45401051371,5942.3072537729995,3.848422333333333,69.0,0.21206672511020339,1.0,1.3351296666666668,2.5114543333333335
entry,hybrid,0.05,0.02,1,0.2,0.0,3,0,34458.95037671149,1393.9040977667732,7.615604333333334,108.33333333333333,0.29663392932090993,1.0,1.6654646666666666,5.948599000000001
entry,hybrid,0.05,0.02,2,0.0,0.0,3,0,6869576.463625427,2933831.434552417,0.04239066666666667,0.0,0.0,0.0,0.041286666666666666,0.0
entry,hybrid,0.05,0.02,2,0.01,0.0,3,0,382444.38367870013,6346.861757891358,0.6855703333333333,21.666666666666668,0.0778998778998779,0.0,0.6838673333333333,0.0
entry,hybrid,0.05,0.02,2,0.02,0.0,3,0,342035.4465773091,185949.40100660574,0.9164370000000001,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8391686666666667,0.07523533333333332
entry,hybrid,0.05,0.02,2,0.05,0.0,3,0,89498.0331731909,20023.765221068617,3.0213033333333335,64.66666666666667,0.20132975322848742,1.0,1.5550420000000003,1.464179333333333
entry,hybrid,0.05,0.02,2,0.1,0.0,3,0,54320.891576219314,14518.281444984188,5.060981666666667,86.66666666666667,0.2526900590902453,1.0,2.7093976666666673,2.349824333333333
entry,hybrid,0.05,0.02,2,0.2,0.0,3,0,28531.962803253653,6292.0256513852,9.459788999999999,135.33333333333334,0.34471819727680053,1.0,2.8401433333333337,6.618359000000001
entry,hybrid,0.05,0.02,3,0.0,0.0,3,0,6644084.537351757,2954700.0396566344,0.04414333333333333,0.0,0.0,0.0,0.042915666666666664,0.0
entry,hybrid,0.05,0.02,3,0.01,0.0,3,0,381502.8885831234,5467.904803178061,0.6872293333333334,21.666666666666668,0.0778998778998779,0.0,0.6854809999999999,0.0
entry,hybrid,0.05,0.02,3,0.02,0.0,3,0,355212.39507713105,192709.119649351,0.8859113333333334,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8124956666666666,0.07165966666666668
entry,hybrid,0.05,0.02,3,0.05,0.0,3,0,87383.19972121636,20186.768347274025,3.0982113333333334,67.0,0.20670097284303046,1.0,1.631937,1.4648029999999999
entry,hybrid,0.05,0.02,3,0.1,0.0,3,0,61701.7276842749,6686.337660252475,4.280293666666666,102.66666666666667,0.2852342040498679,1.0,2.3219703333333332,1.956304
