experiment,condition,system,trial,run_id,loss_rate,ack_loss_rate,rtt_ms,jitter_ms,loss_schedule,seed,file_bytes,window_size,rto_s,completion_time_s,goodput_bytes_per_s,delivered_bytes,retransmission_count,retransmission_overhead,switch_count,handshake_count,gbn_residence_s,sr_residence_s,rtt_mean_ms,final_mode,integrity_success,status,error,wall_clock_s,started_utc,log_dir,sender_events_sha256,receiver_events_sha256
E1,loss00,gbn,0,E1_gbn_loss00_trial00,0.0,0.0,100.0,0.0,,2498852857,1048576,8,0.4,16.179544,64808.74862727899,1048576,0,0.0,0,0,16.176628,0.0,124.40594531249995,gbn,True,ok,,18.459,1789650359.074,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_gbn_loss00_trial00,0e3073e5f45990ae9dbc915eb01786872edb447af10a64c93d84fba4f7b2fed5,97905c3d705bfe566814e959003b41c70b735ff8ce60062f16f5de3c868f2b6e
E1,loss00,sr,0,E1_sr_loss00_trial00,0.0,0.0,100.0,0.0,,2498852857,1048576,8,0.4,16.211992,64679.03512412294,1048576,0,0.0,0,0,0.0,16.207834,124.62328906249998,sr,True,ok,,18.509,1789650377.572,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_sr_loss00_trial00,b796ce9319d05da21c1ec48892910fc75295aa3ed4082cd5dfdc217f68a11ece,e23ee992e604db52f104353b3905849734b7ca6521d877f921d10943a6033068
E1,loss00,hybrid,0,E1_hybrid_loss00_trial00,0.0,0.0,100.0,0.0,,2498852857,1048576,8,0.4,16.198222,64734.01833855592,1048576,0,0.0,0,0,16.195241000000003,0.0,124.50254492187497,gbn,True,ok,,18.482,1789650396.119,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_hybrid_loss00_trial00,cd3f936770e0b9538c02c4edd6d0ebce8408a5f7e1111e2d54888955e09d3d49,7fb4547e86c78ecebf1cddbed2fb1da8f5007329e24e8483d7d391913a59750b
E1,loss00,fixed-hybrid,0,E1_fixed-hybrid_loss00_trial00,0.0,0.0,100.0,0.0,,2498852857,1048576,8,0.4,16.162702,64876.281205951826,1048576,0,0.0,0,0,16.15968,0.0,124.25429199218752,gbn,True,ok,,18.477,1789650414.638,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_fixed-hybrid_loss00_trial00,42b9d175aef8e91638dead516a5bd751b59766dad037ba51f23d7d017c44749a,b6834f1ef4b72da8a88ed5f3fa15ca0071e2c0e795d3c15d0f0e58283c826530
E1,loss00,gbn,1,E1_gbn_loss00_trial01,0.0,0.0,100.0,0.0,,678752263,1048576,8,0.4,16.115671,65065.61222303434,1048576,0,0.0,0,0,16.11267,0.0,123.9206689453125,gbn,True,ok,,18.42,1789650433.157,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_gbn_loss00_trial01,c4a4f1836812010629fa281eb7b60d1b259e981725bae538b82126746694d6c0,ecedb668b599b9eb9f23882effa964a04f953a348a1b61b67f112851206ca299
E1,loss00,sr,1,E1_sr_loss00_trial01,0.0,0.0,100.0,0.0,,678752263,1048576,8,0.4,16.182197,64798.12351808596,1048576,0,0.0,0,0,0.0,16.178952,124.45211523437501,sr,True,ok,,18.463,1789650451.623,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_sr_loss00_trial01,4119c53459db986f76eb8b185c71c01a69e60a68e2baf2007241a5d9fbe3baff,5b296da1b8b7bf0996b361866b1ee10b00a1700662e2ff68e2fb77484cc9d00e
E1,loss00,hybrid,1,E1_hybrid_loss00_trial01,0.0,0.0,100.0,0.0,,678752263,1048576,8,0.4,16.216869,64659.583795121,1048576,0,0.0,0,0,16.213769,0.0,124.68673828125,gbn,True,ok,,18.499,1789650470.137,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_hybrid_loss00_trial01,aea43ca7db05e4250a935dd45349703b2331091ed8e38a4594cceb872cda31cd,d527de528138495cd152b8cb0f7bc2a2df4d359b7cb50ac1bf16d1c1e4b8636a
E1,loss00,fixed-hybrid,1,E1_fixed-hybrid_loss00_trial01,0.0,0.0,100.0,0.0,,678752263,1048576,8,0.4,16.222193,64638.36301294159,1048576,0,0.0,0,0,16.218927,0.0,124.70178710937499,gbn,True,ok,,18.468,1789650488.687,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_fixed-hybrid_loss00_trial01,432ceda7d2e6356949f0c6778b27f448c45d8de50baabefd14f3e6ba413a143a,ece128998acb4ff2ab56cdb53f156581082d3717bc1339d5ba6683ad6833774f
E1,loss00,gbn,2,E1_gbn_loss00_trial02,0.0,0.0,100.0,0.0,,4195520613,1048576,8,0.4,16.203996,64710.95154553235,1048576,0,0.0,0,0,16.20106,0.0,124.65629492187497,gbn,True,ok,,18.462,1789650507.18,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_gbn_loss00_trial02,66e91325b16ce1689c3922190ac22438a2dbab24e109f84775b36e30588cf8b8,4121f16c1b21dfdf16020830beccd6e6bf394febb7a8135dfc5e13d0070b1652
E1,loss00,sr,2,E1_sr_loss00_trial02,0.0,0.0,100.0,0.0,,4195520613,1048576,8,0.4,16.22605,64622.99820350609,1048576,0,0.0,0,0,0.0,16.222331,124.80728515625,sr,True,ok,,18.472,1789650525.666,C:\Users\Ishaan Gupta\Hybrid-ARQ\logs\experiments\E1_sr_loss00_trial02,3563e4c2b676f9c5d70348a78997baa0c55d7e6ab92197c80f3ea1c5db19a867,124b35a9dd3fc713f0cd564d2312cc04b5fd565f2c404d1097804a270e86dd4c
